RECORDS: 
1: 1647, phsmjgblqu
2: 1965, mrunnbgupr
3: 4532, vnofbghsuz
4: 5363, blmipxtybq
5: 5665, ppvsdaulnc
6: 6146, xsupdwpmhd
7: 7780, oubgfxtibq
8: 8330, luqyikaqht
9: 10181, vqdcobhvzq
10: 11604, coanctwlwn
11: 11867, xqkusmjygf
12: 12076, spugnbqcvc
13: 12593, xqtqzptnrh
14: 13223, kwgwbybqan
15: 14397, bccmjmgqvm
16: 14428, fmiaptnmjd
17: 14565, yhirlrsama
18: 15949, rrplkfflgv
19: 16880, rvmefakqga
20: 18251, dzjkwdfxah
21: 18372, aqcmcltucq
22: 19645, vbijyzlilh
23: 20795, sujfazflso
24: 21110, maeypvhtjw
25: 21480, vatzlqszpn
26: 22429, szatozcmes
27: 23385, wuvrijkdvo
28: 23987, rxpnuziqpn
29: 24478, wjcvplidrt
30: 29014, lrimhunhgu
31: 30264, cxkpckxdec
32: 30903, keddbphrxn
33: 31170, yngwsaotau
34: 31843, zafcdeikmy
35: 32350, gdqtzwqhjn
36: 32626, kiadfxlsnx
37: 33645, jdyilriddp
38: 35199, jkfobfuoaj
39: 35957, mjmjaoswjw
40: 36624, zeezzjvbjz
41: 36684, ibdjkwldex
42: 37147, tiihawwadp
43: 37347, lafjgflcwp
44: 38604, rsbyoojlbl
45: 38791, jidguddtkt
46: 38966, ccssrtonhk
47: 43504, wrwnobvgnt
48: 45204, cvwonzqjwc
49: 46940, smlhdyvtko
50: 47185, epaxbmvvaf
51: 48561, kkqlukibiu
52: 50328, xxajyflvmk
53: 51710, dozykhummu
54: 51880, xguqxvoatt
55: 53588, padcfbfaxi
56: 53896, jpdxzzwafe
57: 54201, dqhmdakvwj
58: 57112, cdgozgkpdy
59: 57889, qamtoolpuc
60: 58095, ancizduhbv
61: 58117, ehwuczmmgk
62: 60698, qluirrbqub
63: 62595, zhkgjqbuse
64: 63295, okklskryuk
65: 63527, ggeengxjzc
66: 63721, xlilwznrlt
67: 64519, gknjetbjqd
68: 64640, rrnyueorsn
69: 64822, vsoufccrng
70: 65702, uicdwxlvbh
71: 66625, ccctpwtwhm
72: 66771, abihesvyvc
73: 66966, pglvsrmhtx
74: 67262, zmvhqptucn
75: 68064, ouycwtdbdm
76: 68194, wobkmtobbg
77: 68280, ksobckwicg
